"Time","mmgs"
0,1.21246
0.006,1.21155
0.012,1.22498
0.018,1.21948
0.024,1.22253
0.03,1.21857
0.036,1.24023
0.042,1.24176
0.048,1.23657
0.054,1.23138
0.06,1.20789
0.066,1.21002
0.072,1.24847
0.078,1.25641
0.084,1.22986
0.09,1.24573
0.096,1.22589
0.102,1.21368
0.108,1.21552
0.114,1.2204
0.12,1.24634
0.126,1.24756
0.132,1.24725
0.138,1.23596
0.144,1.21796
0.15,1.21124
0.156,1.21613
0.162,1.22589
0.168,1.24603
0.174,1.25671
0.18,1.23322
0.186,1.23566
0.192,1.20728
0.198,1.20789
0.204,1.21826
0.21,1.2265
0.216,1.24847
0.222,1.24817
0.228,1.23169
0.234,1.23138
0.24,1.22314
0.246,1.22101
0.252,1.22162
0.258,1.25366
0.264,1.22742
0.27,1.21826
0.276,1.22009
0.282,1.20331
0.288,1.22009
0.294,1.22772
0.3,1.23322
0.306,1.22742
0.312,1.23291
0.318,1.23932
0.324,1.21246
0.33,1.21826
0.336,1.24207
0.342,1.23016
0.348,1.22894
0.354,1.23138
0.36,1.20728
0.366,1.22833
0.372,1.22498
0.378,1.2146
0.384,1.22009
0.39,1.20392
0.396,1.24084
0.402,1.23444
0.408,1.22742
0.414,1.22253
0.42,1.24115
0.426,1.21643
0.432,1.22406
0.438,1.24481
0.444,1.22711
0.45,1.24237
0.456,1.23596
0.462,1.2027
0.468,1.20117
0.474,1.21765
0.48,1.23749
0.486,1.21277
0.492,1.26984
0.498,1.22131
0.504,1.21735
0.51,1.21918
0.516,1.23291
0.522,1.2439
0.528,1.21765
0.534,1.24176
0.54,1.24329
0.546,1.17981
0.552,1.23169
0.558,1.25458
0.564,1.23199
0.57,1.22437
0.576,1.2439
0.582,1.21796
0.588,1.22894
0.594,1.25153
0.6,1.21338
0.606,1.2146
0.612,1.21643
0.618,1.24268
0.624,1.24329
0.63,1.23352
0.636,1.21643
0.642,1.2146
0.648,1.23352
0.654,1.23474
0.66,1.23993
0.666,1.22894
0.672,1.23413
0.678,1.22894
0.684,1.23566
0.69,1.23047
0.696,1.22528
0.702,1.22894
0.708,1.23444
0.714,1.22559
0.72,1.23535
0.726,1.22894
0.732,1.24359
0.738,1.23688
