"Time","mmgs"
0.582,1.22955
0.588,1.24237
0.594,1.23535
0.6,1.2146
0.606,1.22742
0.612,1.24237
0.618,1.24512
0.624,1.23077
0.63,1.22375
0.636,1.23993
0.642,1.24176
0.648,1.22253
0.654,1.203
0.66,1.21643
0.666,1.22559
0.672,1.2439
0.678,1.25305
0.684,1.23871
0.69,1.20392
0.696,1.20972
0.702,1.23505
0.708,1.23047
0.714,1.23077
0.72,1.23901
0.726,1.22986
0.732,1.22009
0.738,1.2088
0.744,1.22833
0.75,1.22528
0.756,1.23505
0.762,1.2439
0.768,1.23779
0.774,1.22162
0.78,1.20117
0.786,1.22101
0.792,1.22314
0.798,1.24847
0.804,1.23932
0.81,1.23901
0.816,1.2207
0.822,1.20789
0.828,1.22223
0.834,1.23779
0.84,1.25427
0.846,1.22681
0.852,1.22131
0.858,1.21277
0.864,1.22864
0.87,1.21674
0.876,1.22192
0.882,1.23199
0.888,1.24207
0.894,1.24542
0.9,1.23322
0.906,1.20972
0.912,1.21277
0.918,1.23413
0.924,1.23749
0.93,1.24268
0.936,1.24817
0.942,1.22345
0.948,1.21765
0.954,1.23383
0.96,1.22498
0.966,1.21826
0.972,1.22803
0.978,1.23596
0.984,1.24237
0.99,1.22375
0.996,1.2204
1.002,1.2326
1.008,1.23993
1.014,1.24603
1.02,1.23505
1.026,1.22742
1.032,1.21582
1.038,1.22467
1.044,1.21582
1.05,1.22559
1.056,1.21643
1.062,1.23474
1.068,1.23444
1.074,1.21796
1.08,1.23291
1.086,1.22375
1.092,1.22528
1.098,1.23993
1.104,1.23688
1.11,1.21552
1.116,1.21429
1.122,1.21704
1.128,1.23138
1.134,1.22498
1.14,1.24268
1.146,1.22314
1.152,1.23535
1.158,1.22192
1.164,1.22894
1.17,1.21399
1.176,1.22314
1.182,1.23199
1.188,1.23688
1.194,1.23962
1.2,1.22833
1.206,1.21582
1.212,1.22467
1.218,1.22589
1.224,1.2677
1.23,1.24969
1.236,1.21307
1.242,1.21857
1.248,1.20392
1.254,1.21643
1.26,1.24207
1.266,1.22925
1.272,1.23749
1.278,1.22833
1.284,1.23627
1.29,1.22894
1.296,1.22406
1.302,1.22467
1.308,1.21735
1.314,1.23627
1.32,1.23199
1.326,1.21979
1.332,1.20239
1.338,1.21643
1.344,1.25366
1.35,1.23871
1.356,1.2384
1.362,1.24084
1.368,1.22681
1.374,1.21002
1.38,1.21033
1.386,1.21826
1.392,1.22101
1.398,1.23077
1.404,1.24115
1.41,1.22681
1.416,1.22009
1.422,1.21948
1.428,1.22253
1.434,1.2326
1.44,1.2442
1.446,1.23047
1.452,1.21429
1.458,1.20972
1.464,1.2204
1.47,1.24237
1.476,1.22681
1.482,1.23291
1.488,1.23657
1.494,1.22894
1.5,1.2204
1.506,1.22101
1.512,1.22955
1.518,1.23291
1.524,1.23444
1.53,1.24969
1.536,1.22101
1.542,1.23322
1.548,1.23657
1.554,1.2326
1.56,1.23352
1.566,1.2326
1.572,1.2442
1.578,1.22223
1.584,1.22559
1.59,1.22314
1.596,1.2207
1.602,1.22986
1.608,1.23993
1.614,1.23779
1.62,1.23779
1.626,1.2262
1.632,1.21948
1.638,1.20697
1.644,1.22833
1.65,1.23016
1.656,1.2323
1.662,1.21399
1.668,1.2265
1.674,1.23047
1.68,1.19995
1.686,1.22101
1.692,1.24115
1.698,1.23779
1.704,1.23352
1.71,1.2439
1.716,1.22192
1.722,1.19812
1.728,1.203
1.734,1.23138
1.74,1.24786
1.746,1.24756
1.752,1.22467
1.758,1.22192
1.764,1.20819
1.77,1.23627
1.776,1.24176
1.782,1.23901
1.788,1.2384
1.794,1.22498
1.8,1.22589
1.806,1.2027
1.812,1.22406
1.818,1.2326
1.824,1.24146
1.83,1.26221
1.836,1.24329
1.842,1.21643
1.848,1.19476
1.854,1.22284
1.86,1.24542
1.866,1.25519
1.872,1.24695
1.878,1.22955
1.884,1.21582
1.89,1.22131
1.896,1.22192
1.902,1.23138
1.908,1.23566
1.914,1.24329
1.92,1.24573
1.926,1.22375
1.932,1.20544
1.938,1.20667
1.944,1.22833
1.95,1.24634
1.956,1.24359
1.962,1.22986
1.968,1.22162
1.974,1.22253
1.98,1.21368
1.986,1.21674
1.992,1.24329
1.998,1.2384
2.004,1.24023
2.01,1.2204
2.016,1.21155
2.022,1.21826
2.028,1.23047
2.034,1.2442
2.04,1.24451
2.046,1.24573
2.052,1.22833
2.058,1.20544
2.064,1.20941
2.07,1.23352
2.076,1.23962
2.082,1.23047
2.088,1.22681
2.094,1.23749
2.1,1.22375
2.106,1.22559
2.112,1.22742
2.118,1.21613
2.124,1.23352
2.13,1.24664
2.136,1.23566
2.142,1.22803
2.148,1.22986
2.154,1.21216
2.16,1.22589
2.166,1.23993
2.172,1.24908
2.178,1.23199
2.184,1.23444
2.19,1.22223
2.196,1.22528
2.202,1.21185
2.208,1.2149
2.214,1.23901
2.22,1.25366
2.226,1.24908
2.232,1.22009
2.238,1.21307
2.244,1.22375
2.25,1.22925
2.256,1.24786
2.262,1.24542
2.268,1.21643
2.274,1.22772
2.28,1.22711
2.286,1.2265
2.292,1.22955
2.298,1.22894
2.304,1.23627
2.31,1.24115
2.316,1.23566
2.322,1.21857
2.328,1.21338
2.334,1.21521
2.34,1.22589
2.346,1.24817
2.352,1.24084
2.358,1.22131
2.364,1.20819
2.37,1.22223
2.376,1.22437
2.382,1.23871
2.388,1.22803
2.394,1.22986
2.4,1.22711
2.406,1.21185
2.412,1.21796
2.418,1.22589
2.424,1.24237
2.43,1.23596
2.436,1.23993
2.442,1.24268
2.448,1.22803
2.454,1.20667
2.46,1.2204
2.466,1.23993
2.472,1.24542
2.478,1.23352
2.484,1.22559
2.49,1.21582
2.496,1.22589
2.502,1.23413
2.508,1.24847
2.514,1.23657
2.52,1.22894
2.526,1.22437
2.532,1.23077
2.538,1.2085
2.544,1.21002
2.55,1.2323
2.556,1.22681
2.562,1.23077
2.568,1.23138
2.574,1.21979
2.58,1.21155
2.586,1.23657
2.592,1.24237
2.598,1.23016
2.604,1.21613
2.61,1.2149
2.616,1.22711
2.622,1.22772
2.628,1.23718
2.634,1.22375
2.64,1.22803
2.646,1.23047
2.652,1.24023
2.658,1.22101
2.664,1.21521
2.67,1.23779
2.676,1.24207
2.682,1.24023
2.688,1.21918
2.694,1.20056
2.7,1.22864
2.706,1.23688
2.712,1.24115
2.718,1.2439
2.724,1.21185
2.73,1.2265
2.736,1.22314
2.742,1.24756
2.748,1.23596
2.754,1.21887
2.76,1.2207
2.766,1.22864
2.772,1.23596
2.778,1.22559
2.784,1.21948
2.79,1.23505
2.796,1.23871
2.802,1.23444
2.808,1.21979
2.814,1.21094
2.82,1.21216
2.826,1.22986
2.832,1.25305
2.838,1.23383
2.844,1.22375
2.85,1.21429
2.856,1.2323
2.862,1.2381
2.868,1.22223
2.874,1.23169
2.88,1.22864
2.886,1.2207
2.892,1.23016
2.898,1.21338
2.904,1.22406
2.91,1.23383
2.916,1.22528
2.922,1.25031
2.928,1.2326
2.934,1.20483
2.94,1.21979
2.946,1.22742
2.952,1.24146
2.958,1.23962
2.964,1.21979
2.97,1.2207
2.976,1.22009
2.982,1.22284
2.988,1.23749
2.994,1.2384
3,1.22498
3.006,1.23077
3.012,1.21094
3.018,1.23016
3.024,1.22925
3.03,1.22253
3.036,1.22375
3.042,1.24329
3.048,1.22925
3.054,1.21613
3.06,1.21521
3.066,1.21552
3.072,1.23138
3.078,1.23627
3.084,1.23749
3.09,1.22864
3.096,1.22253
3.102,1.2204
3.108,1.22528
3.114,1.22223
3.12,1.23932
3.126,1.22742
3.132,1.22559
3.138,1.22955
3.144,1.22314
3.15,1.21765
3.156,1.22986
3.162,1.23718
3.168,1.24176
3.174,1.21124
3.18,1.2207
3.186,1.22772
3.192,1.22437
3.198,1.23413
3.204,1.2265
3.21,1.22284
3.216,1.20697
3.222,1.23291
3.228,1.22437
3.234,1.23199
3.24,1.21521
3.246,1.24207
3.252,1.23016
3.258,1.2323
3.264,1.23047
3.27,1.23657
3.276,1.21613
3.282,1.23932
3.288,1.24084
3.294,1.2204
3.3,1.22375
3.306,1.22925
3.312,1.22009
3.318,1.2207
3.324,1.22681
3.33,1.21826
3.336,1.21246
3.342,1.24359
3.348,1.23383
3.354,1.22894
3.36,1.21765
3.366,1.23016
3.372,1.21765
3.378,1.23413
3.384,1.23993
3.39,1.21429
3.396,1.19843
3.402,1.22772
3.408,1.22742
3.414,1.23322
3.42,1.22742
3.426,1.22833
3.432,1.22589
3.438,1.22772
3.444,1.22131
3.45,1.24207
3.456,1.22162
3.462,1.22192
3.468,1.23596
3.474,1.23169
3.48,1.22772
3.486,1.21277
3.492,1.22681
3.498,1.22223
3.504,1.2326
3.51,1.23474
3.516,1.24023
3.522,1.24023
3.528,1.23474
3.534,1.21124
3.54,1.2149
3.546,1.21124
3.552,1.23474
3.558,1.24298
3.564,1.21674
3.57,1.23047
3.576,1.22589
3.582,1.21429
3.588,1.22925
3.594,1.22375
3.6,1.23688
3.606,1.23535
3.612,1.23047
3.618,1.23108
3.624,1.1908
3.63,1.22559
3.636,1.21185
3.642,1.26434
3.648,1.25549
3.654,1.19781
3.66,1.22772
3.666,1.20911
3.672,1.22986
3.678,1.25244
3.684,1.21796
3.69,1.23169
3.696,1.23749
3.702,1.23047
3.708,1.2085
3.714,1.22192
3.72,1.24268
3.726,1.25061
3.732,1.23779
3.738,1.22894
3.744,1.22101
3.75,1.23718
3.756,1.20087
3.762,1.22284
3.768,1.24084
3.774,1.23566
3.78,1.23352
3.786,1.19995
3.792,1.20361
3.798,1.23108
3.804,1.23474
3.81,1.25977
3.816,1.23871
3.822,1.2326
3.828,1.20911
3.834,1.22284
3.84,1.22467
3.846,1.2326
3.852,1.23718
3.858,1.23993
3.864,1.22223
3.87,1.23047
3.876,1.20605
3.882,1.21521
3.888,1.22681
3.894,1.25092
3.9,1.25214
3.906,1.22742
3.912,1.21582
3.918,1.2265
3.924,1.20911
3.93,1.23016
3.936,1.23047
3.942,1.23383
3.948,1.23016
3.954,1.2265
3.96,1.22589
3.966,1.19843
3.972,1.21399
3.978,1.24969
3.984,1.23657
3.99,1.22711
3.996,1.24054
4.002,1.21033
4.008,1.22345
4.014,1.24451
4.02,1.19507
4.026,1.22375
4.032,1.24939
4.038,1.22742
4.044,1.24023
4.05,1.19659
4.056,1.19843
4.062,1.23322
4.068,1.20361
4.074,1.25763
4.08,1.26526
4.086,1.20026
4.092,1.20026
4.098,1.24237
4.104,1.22009
4.11,1.22711
4.116,1.24725
4.122,1.24054
4.128,1.22559
4.134,1.23779
4.14,1.21765
4.146,1.19751
4.152,1.23627
4.158,1.24634
4.164,1.23047
4.17,1.2262
4.176,1.22162
4.182,1.19141
4.188,1.21948
4.194,1.25031
4.2,1.23535
4.206,1.22986
4.212,1.24451
4.218,1.21399
4.224,1.2088
4.23,1.21948
4.236,1.22833
4.242,1.2088
4.248,1.23138
4.254,1.25305
4.26,1.22742
4.266,1.18744
4.272,1.2146
4.278,1.24207
4.284,1.24908
4.29,1.2326
4.296,1.23718
4.302,1.20941
4.308,1.22284
4.314,1.21918
4.32,1.23627
4.326,1.23993
4.332,1.23657
4.338,1.23962
4.344,1.21918
4.35,1.22009
4.356,1.22986
4.362,1.23993
4.368,1.23688
4.374,1.24298
4.38,1.24817
4.386,1.21552
4.392,1.2027
4.398,1.22528
4.404,1.22009
4.41,1.23749
4.416,1.24023
4.422,1.22406
4.428,1.21552
4.434,1.21735
4.44,1.22498
4.446,1.22955
4.452,1.23901
4.458,1.24359
4.464,1.21948
4.47,1.22467
4.476,1.21246
4.482,1.22681
4.488,1.21704
4.494,1.2323
4.5,1.24634
4.506,1.24207
4.512,1.22192
4.518,1.22101
4.524,1.23138
4.53,1.22772
4.536,1.23047
4.542,1.22406
4.548,1.20941
4.554,1.22253
4.56,1.21826
4.566,1.22559
4.572,1.22986
4.578,1.23291
4.584,1.25519
4.59,1.22498
4.596,1.2146
4.602,1.21246
4.608,1.22772
4.614,1.23749
4.62,1.23383
4.626,1.21246
4.632,1.2204
4.638,1.23474
4.644,1.22345
4.65,1.2262
4.656,1.21918
4.662,1.23077
4.668,1.23291
4.674,1.23596
4.68,1.23993
4.686,1.22711
4.692,1.21948
4.698,1.21826
4.704,1.22864
4.71,1.23413
4.716,1.22681
4.722,1.23047
4.728,1.2204
4.734,1.22559
4.74,1.22345
4.746,1.24084
4.752,1.23566
4.758,1.22711
4.764,1.23413
4.77,1.23169
4.776,1.22253
4.782,1.21674
4.788,1.22345
4.794,1.22864
4.8,1.23901
4.806,1.25183
4.812,1.22711
4.818,1.21063
4.824,1.21521
4.83,1.21887
4.836,1.24481
4.842,1.2326
4.848,1.23383
4.854,1.22833
4.86,1.22467
4.866,1.21033
4.872,1.22772
4.878,1.21521
4.884,1.23138
4.89,1.24908
4.896,1.22345
4.902,1.22131
4.908,1.2149
4.914,1.22131
4.92,1.23779
4.926,1.24023
4.932,1.22803
4.938,1.2149
4.944,1.22925
4.95,1.23047
4.956,1.21918
4.962,1.23352
4.968,1.21826
4.974,1.22803
4.98,1.23199
4.986,1.23016
4.992,1.21155
4.998,1.22345
5.004,1.23474
5.01,1.2381
5.016,1.23993
5.022,1.21918
5.028,1.22498
5.034,1.20972
5.04,1.22406
5.046,1.21429
5.052,1.22162
5.058,1.22559
5.064,1.23474
5.07,1.23657
5.076,1.23169
5.082,1.22009
5.088,1.22955
5.094,1.2262
5.1,1.23444
5.106,1.20911
5.112,1.2207
5.118,1.22192
5.124,1.21765
5.13,1.2326
5.136,1.23322
5.142,1.23322
5.148,1.24725
5.154,1.23535
5.16,1.23291
5.166,1.22681
5.172,1.2326
5.178,1.22986
5.184,1.21307
5.19,1.23138
5.196,1.24176
5.202,1.22833
5.208,1.2204
5.214,1.21521
5.22,1.2323
5.226,1.23047
5.232,1.23779
5.238,1.22437
5.244,1.2149
5.25,1.21674
5.256,1.21338
