"Time","mmgs"
0.462,1.36047
0.468,1.32874
0.474,1.22498
0.48,1.19568
0.486,1.19446
0.492,1.17218
0.498,1.22772
0.504,1.18958
0.51,1.23169
0.516,1.26312
0.522,1.30524
0.528,1.2085
0.534,1.18256
0.54,1.23474
0.546,1.22833
0.552,1.1792
0.558,1.19904
0.564,1.22986
0.57,1.27075
0.576,1.27289
0.582,1.25
0.588,1.22345
0.594,1.24512
0.6,1.28662
0.606,1.24908
0.612,1.21002
0.618,1.22498
0.624,1.21613
0.63,1.20148
0.636,1.20941
0.642,1.19995
0.648,1.19385
0.654,1.21979
0.66,1.18225
0.666,1.22406
0.672,1.25244
0.678,1.25977
0.684,1.2381
0.69,1.2674
0.696,1.2262
0.702,1.23901
0.708,1.23932
0.714,1.26404
0.72,1.21216
0.726,1.16486
0.732,1.20483
0.738,1.24054
0.744,1.22864
0.75,1.25366
0.756,1.23962
0.762,1.26556
0.768,1.23535
0.774,1.20056
0.78,1.21216
0.786,1.2384
0.792,1.24451
0.798,1.21246
0.804,1.21124
0.81,1.20819
0.816,1.22101
0.822,1.20819
0.828,1.17035
0.834,1.22009
0.84,1.25
0.846,1.26038
0.852,1.25946
0.858,1.23444
0.864,1.18988
0.87,1.2384
0.876,1.25854
0.882,1.24664
0.888,1.17004
0.894,1.21857
0.9,1.28571
0.906,1.22803
0.912,1.22467
0.918,1.20026
0.924,1.20453
0.93,1.21399
0.936,1.24084
0.942,1.24603
0.948,1.23383
0.954,1.23291
0.96,1.22314
0.966,1.2323
0.972,1.23108
0.978,1.25183
0.984,1.26099
0.99,1.22894
0.996,1.20605
1.002,1.21002
1.008,1.22772
1.014,1.22437
1.02,1.21887
1.026,1.22345
1.032,1.21796
1.038,1.20941
1.044,1.2204
1.05,1.22406
1.056,1.23596
1.062,1.23688
1.068,1.24359
1.074,1.21582
1.08,1.21307
1.086,1.19598
1.092,1.21948
1.098,1.24847
1.104,1.25793
1.11,1.24359
1.116,1.2439
1.122,1.2265
1.128,1.2088
1.134,1.21826
1.14,1.22253
1.146,1.24329
1.152,1.25916
1.158,1.26526
1.164,1.17981
1.17,1.21521
1.176,1.2442
1.182,1.21643
1.188,1.20178
1.194,1.22742
