"Time","switch"
0.462,1
0.468,1
0.474,1
0.48,1
0.486,1
0.492,1
0.498,1
0.504,1
0.51,1
0.516,1
0.522,1
0.528,1
0.534,1
0.54,1
0.546,1
0.552,1
0.558,1
0.564,1
0.57,1
0.576,1
0.582,1
0.588,1
0.594,1
0.6,1
0.606,1
0.612,1
0.618,1
0.624,1
0.63,1
0.636,1
0.642,1
0.648,1
0.654,1
0.66,1
0.666,1
0.672,1
0.678,1
0.684,1
0.69,1
0.696,1
0.702,1
0.708,1
0.714,1
0.72,1
0.726,1
0.732,1
0.738,1
0.744,1
0.75,1
0.756,1
0.762,1
0.768,1
0.774,1
0.78,1
0.786,1
0.792,1
0.798,1
0.804,1
0.81,1
0.816,1
0.822,1
0.828,1
0.834,1
0.84,1
0.846,1
0.852,1
0.858,1
0.864,1
0.87,1
0.876,1
0.882,1
0.888,1
0.894,1
0.9,1
0.906,1
0.912,1
0.918,1
0.924,1
0.93,1
0.936,1
0.942,1
0.948,1
0.954,1
0.96,1
0.966,1
0.972,1
0.978,1
0.984,1
0.99,1
0.996,1
1.002,1
1.008,1
1.014,1
1.02,1
1.026,1
1.032,1
1.038,1
1.044,1
1.05,1
1.056,1
1.062,1
1.068,1
1.074,1
1.08,1
1.086,1
1.092,1
1.098,1
1.104,1
1.11,1
1.116,1
1.122,1
1.128,1
1.134,1
1.14,1
1.146,1
1.152,1
1.158,1
1.164,1
1.17,1
1.176,1
1.182,1
1.188,1
1.194,1
1.2,1
1.206,1
1.212,1
1.218,1
1.224,1
1.23,1
1.236,1
1.242,1
1.248,1
1.254,1
1.26,1
1.266,1
1.272,1
1.278,1
1.284,1
1.29,1
1.296,1
1.302,1
1.308,1
1.314,1
1.32,1
1.326,1
1.332,1
1.338,1
1.344,1
1.35,1
1.356,1
1.362,1
1.368,1
1.374,1
1.38,1
1.386,1
1.392,1
1.398,1
1.404,1
1.41,1
1.416,1
1.422,1
1.428,1
1.434,1
1.44,1
1.446,1
1.452,1
1.458,1
1.464,1
1.47,1
1.476,1
1.482,1
1.488,1
1.494,1
1.5,1
1.506,1
1.512,1
1.518,1
1.524,1
1.53,1
1.536,1
1.542,1
1.548,1
1.554,1
1.56,1
1.566,1
1.572,1
1.578,1
1.584,1
1.59,1
1.596,1
1.602,1
1.608,1
1.614,1
1.62,1
1.626,1
1.632,1
1.638,1
1.644,1
1.65,1
1.656,1
1.662,1
1.668,1
1.674,1
1.68,1
1.686,1
1.692,1
1.698,1
1.704,1
1.71,1
1.716,1
1.722,1
1.728,1
1.734,1
1.74,1
1.746,1
1.752,1
1.758,1
1.764,1
1.77,1
1.776,1
1.782,1
1.788,1
1.794,1
1.8,1
1.806,1
1.812,1
1.818,1
1.824,1
1.83,1
1.836,1
1.842,1
1.848,1
1.854,1
1.86,1
1.866,1
1.872,1
1.878,1
1.884,1
1.89,1
1.896,1
1.902,1
1.908,1
1.914,1
1.92,1
1.926,1
1.932,1
1.938,1
1.944,1
1.95,1
1.956,1
1.962,1
1.968,1
1.974,1
1.98,1
1.986,1
1.992,1
1.998,1
2.004,1
2.01,1
2.016,1
2.022,1
2.028,1
2.034,1
2.04,1
2.046,1
2.052,1
2.058,1
2.064,1
2.07,1
2.076,1
2.082,1
2.088,1
2.094,1
2.1,1
2.106,1
2.112,1
2.118,1
2.124,1
