"Time","mmgs"
0.558,1.23779
0.564,1.23779
0.57,1.24512
0.576,1.22589
0.582,1.20331
0.588,1.24115
0.594,1.23993
0.6,1.22345
0.606,1.23199
0.612,1.21246
0.618,1.21796
0.624,1.22192
0.63,1.22833
0.636,1.21979
0.642,1.21521
0.648,1.24237
0.654,1.23962
0.66,1.23779
0.666,1.2262
0.672,1.21582
0.678,1.23474
0.684,1.23016
0.69,1.21887
0.696,1.20697
0.702,1.20575
0.708,1.21857
0.714,1.23932
0.72,1.2616
0.726,1.23688
0.732,1.22223
0.738,1.22833
0.744,1.22131
0.75,1.23077
0.756,1.24207
0.762,1.23657
0.768,1.22009
0.774,1.21765
0.78,1.21704
0.786,1.20361
0.792,1.21185
0.798,1.24054
0.804,1.24603
0.81,1.23932
0.816,1.22406
0.822,1.22772
0.828,1.23871
0.834,1.23505
0.84,1.24207
0.846,1.23779
0.852,1.23352
0.858,1.2381
0.864,1.23322
0.87,1.2204
0.876,1.23291
0.882,1.22284
0.888,1.23291
0.894,1.24725
0.9,1.23535
0.906,1.21582
0.912,1.21063
0.918,1.22711
0.924,1.25
0.93,1.23901
0.936,1.23505
0.942,1.24115
0.948,1.22742
0.954,1.21613
0.96,1.23871
0.966,1.24329
0.972,1.23199
0.978,1.23657
0.984,1.22314
0.99,1.2262
0.996,1.21643
1.002,1.21735
1.008,1.22925
1.014,1.24512
1.02,1.24664
1.026,1.23932
1.032,1.21552
1.038,1.2088
1.044,1.23016
1.05,1.24908
1.056,1.24054
1.062,1.2384
1.068,1.2265
1.074,1.21796
1.08,1.22681
1.086,1.22192
1.092,1.22467
1.098,1.23199
1.104,1.23077
1.11,1.23413
1.116,1.2149
1.122,1.19995
1.128,1.21704
1.134,1.21521
1.14,1.24298
1.146,1.23749
1.152,1.23535
1.158,1.22101
1.164,1.21765
1.17,1.23352
1.176,1.2265
1.182,1.23047
1.188,1.24115
1.194,1.24878
1.2,1.23169
1.206,1.22559
1.212,1.21124
1.218,1.22437
1.224,1.23413
1.23,1.24573
1.236,1.23077
1.242,1.22101
1.248,1.20697
1.254,1.22833
1.26,1.25793
1.266,1.24115
1.272,1.2207
1.278,1.20911
1.284,1.21918
1.29,1.21155
1.296,1.20148
1.302,1.21582
1.308,1.23383
1.314,1.23444
1.32,1.23901
1.326,1.23291
1.332,1.22742
1.338,1.20148
1.344,1.23077
1.35,1.24603
1.356,1.23108
1.362,1.22711
1.368,1.22772
1.374,1.22864
1.38,1.2323
1.386,1.24451
1.392,1.2439
1.398,1.25641
1.404,1.23413
1.41,1.20117
