"Time","mmgs"
0.486,1.26251
0.492,1.21155
0.498,1.25427
0.504,1.23627
0.51,1.19415
0.516,1.23749
0.522,1.22955
0.528,1.24817
0.534,1.22009
0.54,1.14655
0.546,1.23688
0.552,1.22284
0.558,1.24054
0.564,1.24023
0.57,1.18622
0.576,1.20605
0.582,1.22131
0.588,1.22894
0.594,1.22955
0.6,1.23199
0.606,1.2027
0.612,1.19873
0.618,1.21887
0.624,1.21796
0.63,1.25671
0.636,1.22131
0.642,1.20453
0.648,1.19263
0.654,1.24451
0.66,1.24207
0.666,1.23444
0.672,1.22131
0.678,1.23383
0.684,1.24359
0.69,1.23993
0.696,1.22925
0.702,1.21277
0.708,1.21399
0.714,1.21674
0.72,1.21948
0.726,1.2381
0.732,1.19873
0.738,1.20819
0.744,1.2204
0.75,1.25824
0.756,1.25336
0.762,1.25061
0.768,1.20911
0.774,1.21643
0.78,1.21368
0.786,1.21796
0.792,1.23077
0.798,1.2207
0.804,1.2204
0.81,1.20728
0.816,1.2146
0.822,1.20117
0.828,1.21918
0.834,1.2381
0.84,1.24847
0.846,1.26495
0.852,1.21521
0.858,1.19659
0.864,1.21216
0.87,1.22437
0.876,1.23596
0.882,1.22528
0.888,1.24268
0.894,1.23291
0.9,1.21368
0.906,1.20422
0.912,1.2088
0.918,1.22833
0.924,1.23322
0.93,1.23535
0.936,1.22833
0.942,1.23077
0.948,1.19263
0.954,1.2088
0.96,1.24146
0.966,1.24023
0.972,1.2323
0.978,1.21185
0.984,1.21857
0.99,1.22467
0.996,1.21613
1.002,1.22253
1.008,1.22009
1.014,1.23779
1.02,1.21674
1.026,1.21399
1.032,1.21735
1.038,1.21674
1.044,1.25458
1.05,1.24207
1.056,1.23596
1.062,1.23596
1.068,1.20605
1.074,1.20514
1.08,1.24481
1.086,1.24756
1.092,1.24786
1.098,1.21185
1.104,1.23016
1.11,1.22406
1.116,1.23444
1.122,1.21155
1.128,1.23352
1.134,1.21277
1.14,1.22253
1.146,1.22284
1.152,1.21185
1.158,1.2204
1.164,1.24329
1.17,1.25458
1.176,1.22681
1.182,1.2085
1.188,1.2027
1.194,1.20422
1.2,1.22864
1.206,1.24481
1.212,1.25061
1.218,1.20392
1.224,1.20178
1.23,1.23596
1.236,1.24054
1.242,1.24573
1.248,1.24298
1.254,1.20819
1.26,1.22284
1.266,1.23169
1.272,1.24359
1.278,1.22955
1.284,1.22589
1.29,1.2326
1.296,1.25
1.302,1.23291
1.308,1.22162
1.314,1.21521
1.32,1.21521
1.326,1.24237
1.332,1.26007
1.338,1.21582
1.344,1.22375
1.35,1.21338
1.356,1.22925
1.362,1.23322
1.368,1.23627
1.374,1.21918
1.38,1.21094
1.386,1.21857
1.392,1.22284
1.398,1.20636
1.404,1.22162
1.41,1.22559
1.416,1.23138
1.422,1.23047
1.428,1.23322
1.434,1.21887
1.44,1.22711
1.446,1.23444
1.452,1.24939
1.458,1.24268
1.464,1.22559
1.47,1.22772
1.476,1.23657
1.482,1.2262
1.488,1.23138
1.494,1.23413
1.5,1.22131
1.506,1.20728
1.512,1.2088
1.518,1.22406
1.524,1.24298
1.53,1.25031
1.536,1.23199
1.542,1.23138
1.548,1.21704
1.554,1.21185
1.56,1.22162
1.566,1.21704
1.572,1.21582
1.578,1.22223
1.584,1.2207
1.59,1.21338
1.596,1.21857
1.602,1.26648
1.608,1.23291
1.614,1.23322
1.62,1.22437
1.626,1.2384
1.632,1.2439
1.638,1.23566
1.644,1.22253
1.65,1.24634
1.656,1.2439
1.662,1.24115
1.668,1.22772
1.674,1.22559
1.68,1.2149
1.686,1.26221
1.692,1.21765
1.698,1.23016
1.704,1.19568
1.71,1.203
1.716,1.23535
1.722,1.21887
1.728,1.2384
1.734,1.22864
1.74,1.22162
1.746,1.22498
1.752,1.23444
1.758,1.24268
1.764,1.22986
1.77,1.22925
1.776,1.25397
1.782,1.25824
1.788,1.21368
1.794,1.19904
1.8,1.1972
1.806,1.23047
1.812,1.26129
1.818,1.25397
1.824,1.21796
1.83,1.21155
1.836,1.22437
1.842,1.23993
1.848,1.23688
1.854,1.24603
1.86,1.22803
1.866,1.19751
1.872,1.2027
1.878,1.24786
1.884,1.25092
1.89,1.22589
1.896,1.2207
1.902,1.21979
1.908,1.24725
1.914,1.22681
1.92,1.21765
1.926,1.20117
1.932,1.2149
1.938,1.23688
1.944,1.23596
1.95,1.21399
1.956,1.19995
1.962,1.21765
1.968,1.21521
1.974,1.24908
1.98,1.24451
1.986,1.22925
1.992,1.21094
1.998,1.20483
2.004,1.21796
2.01,1.22162
2.016,1.22528
2.022,1.21765
2.028,1.23688
2.034,1.21002
2.04,1.21368
2.046,1.22437
2.052,1.24695
2.058,1.2442
2.064,1.2207
2.07,1.21979
2.076,1.20697
2.082,1.22559
2.088,1.21338
2.094,1.21307
2.1,1.23199
2.106,1.21552
2.112,1.21643
2.118,1.2146
2.124,1.23718
2.13,1.21552
2.136,1.23322
2.142,1.22192
2.148,1.23383
2.154,1.20422
2.16,1.21216
2.166,1.23322
2.172,1.2262
2.178,1.25092
2.184,1.23566
2.19,1.22284
2.196,1.21155
2.202,1.21857
2.208,1.22528
2.214,1.23169
2.22,1.21246
2.226,1.23291
2.232,1.2442
2.238,1.21368
2.244,1.23413
2.25,1.23444
2.256,1.22192
2.262,1.25153
2.268,1.24786
2.274,1.2265
2.28,1.21124
2.286,1.21094
2.292,1.23749
2.298,1.26099
2.304,1.2204
2.31,1.23901
2.316,1.21429
2.322,1.2149
2.328,1.24084
2.334,1.24573
2.34,1.23169
2.346,1.22223
2.352,1.2442
2.358,1.18927
